genres;movie_title;plot_keywords
Action,Adventure,Fantasy,Sci-Fi;Avatar;avatar,future,marine,native,paraplegic
Action,Adventure,Fantasy;Pirates of the Caribbean: At World's End;goddess,marriage ceremony,marriage proposal,pirate,singapore
Action,Adventure,Thriller;Spectre;bomb,espionage,sequel,spy,terrorist
Action,Thriller;The Dark Knight Rises;deception,imprisonment,lawlessness,police officer,terrorist plot
Documentary;Star Wars: Episode VII - The Force Awakens            ;
Action,Adventure,Sci-Fi;John Carter;alien,american civil war,male nipple,mars,princess
Action,Adventure,Romance;Spider-Man 3;sandman,spider man,symbiote,venom,villain
Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance;Tangled;17th century,based on fairy tale,disney,flower,tower
Action,Adventure,Sci-Fi;Avengers: Age of Ultron;artificial intelligence,based on comic book,captain america,marvel cinematic universe,superhero
Adventure,Family,Fantasy,Mystery;Harry Potter and the Half-Blood Prince;blood,book,love,potion,professor
Action,Adventure,Sci-Fi;Batman v Superman: Dawn of Justice;based on comic book,batman,sequel to a reboot,superhero,superman
Action,Adventure,Sci-Fi;Superman Returns;crystal,epic,lex luthor,lois lane,return to earth
Action,Adventure;Quantum of Solace;action hero,attempted rape,bond girl,official james bond series,revenge
Action,Adventure,Fantasy;Pirates of the Caribbean: Dead Man's Chest;box office hit,giant squid,heart,liar's dice,monster
Action,Adventure,Western;The Lone Ranger;horse,outlaw,texas,texas ranger,train
Action,Adventure,Fantasy,Sci-Fi;Man of Steel;based on comic book,british actor playing american character,final battle,origin of hero,reboot
Action,Adventure,Family,Fantasy;The Chronicles of Narnia: Prince Caspian;brother brother relationship,brother sister relationship,good versus evil,king,narnia
Action,Adventure,Sci-Fi;The Avengers;alien invasion,assassin,battle,iron man,soldier
Action,Adventure,Fantasy;Pirates of the Caribbean: On Stranger Tides;blackbeard,captain,pirate,revenge,soldier
Action,Adventure,Comedy,Family,Fantasy,Sci-Fi;Men in Black 3;alien,criminal,m.i.b.,maximum security prison,prison
Adventure,Fantasy;The Hobbit: The Battle of the Five Armies;army,elf,hobbit,middle earth,orc
Action,Adventure,Fantasy;The Amazing Spider-Man;lizard,outcast,spider,spider man,teenager
Action,Adventure,Drama,History;Robin Hood;1190s,archer,england,king of england,robin hood
Adventure,Fantasy;The Hobbit: The Desolation of Smaug;dwarf,elf,lake town,mountain,sword and sorcery
Adventure,Family,Fantasy;The Golden Compass;children,epic,friend,girl,quest
Action,Adventure,Drama,Romance;King Kong;animal name in title,ape abducts a woman,gorilla,island,king kong
Drama,Romance;Titanic;artist,love,ship,titanic,wet
Action,Adventure,Sci-Fi;Captain America: Civil War;based on comic book,knife,marvel cinematic universe,returning character killed off,superhero
Action,Adventure,Sci-Fi,Thriller;Battleship;box office flop,hawaii,naval,oahu hawaii,ship
Action,Adventure,Sci-Fi,Thriller;Jurassic World;dinosaur,disaster film,experiment gone wrong,jurassic park,velociraptor
Action,Adventure,Thriller;Skyfall;brawl,childhood home,computer cracker,intelligence agency,terrorist cell
Action,Adventure,Fantasy,Romance;Spider-Man 2;death,doctor,scientist,super villain,tentacle
Action,Adventure,Sci-Fi;Iron Man 3;armor,explosion,human bomb,missile attack,terrorist
Adventure,Family,Fantasy;Alice in Wonderland;alice in wonderland,mistaking reality for dream,queen,shrinking,shrinking potion
Action,Adventure,Fantasy,Sci-Fi,Thriller;X-Men: The Last Stand;battle,mutant,outrage,walking through a wall,x men
Adventure,Animation,Comedy,Family,Fantasy;Monsters University;cheating,fraternity,monster,singing in a car,university
Action,Adventure,Sci-Fi;Transformers: Revenge of the Fallen;autobot,decepticon,machine,sun,symbol
Action,Adventure,Sci-Fi;Transformers: Age of Extinction;blockbuster,bumblebee the character,semi truck and trailer,texas,truck
Adventure,Family,Fantasy;Oz the Great and Powerful;circus,magic,magician,oz,witch
Action,Adventure,Fantasy,Sci-Fi;The Amazing Spider-Man 2;costumed hero,death of girlfriend,masked vigilante,returning character killed off,teenager
Action,Adventure,Sci-Fi;TRON: Legacy;arcade,bridge,disappearance,escape,warrior
Adventure,Animation,Comedy,Family,Sport;Cars 2;best friend,car race,conspiracy,gadget car,spy
Action,Adventure,Sci-Fi;Green Lantern;autopsy,lantern,planet,ring,test pilot
Adventure,Animation,Comedy,Family,Fantasy;Toy Story 3;college,day care,escape,teddy bear,toy
Action,Adventure,Sci-Fi;Terminator Salvation;death row,future,machine,rescue,skynet
Action,Crime,Thriller;Furious 7;car falling off a cliff,hospital,revenge,star died before release,terrorist
Action,Adventure,Horror,Sci-Fi,Thriller;World War Z;chaos,disease,infection,pandemic,zombie
Action,Adventure,Fantasy,Sci-Fi,Thriller;X-Men: Days of Future Past;dystopia,super strength,supernatural power,time paradox,time travel
Action,Adventure,Sci-Fi;Star Trek Into Darkness;admiral,captain,manhunt,mission,space
Adventure,Fantasy;Jack the Giant Slayer;bean,giant,king,no opening credits,princess
Drama,Romance;The Great Gatsby;ingratitude,mansion,party,title appears in writing,tragedy
Action,Adventure,Fantasy,Romance;Prince of Persia: The Sands of Time;alamut,dagger,king,persia,princess
Action,Adventure,Sci-Fi;Pacific Rim;giant monster,kaiju,pilot,portal,robot
Action,Adventure,Sci-Fi;Transformers: Dark of the Moon;autobot,decepticon,job interview,moon,spacecraft
Action,Adventure,Fantasy;Indiana Jones and the Kingdom of the Crystal Skull;cult figure,femme fatale,indiana jones,unsubtitled foreign language,year 1957
Adventure,Animation,Comedy,Family,Fantasy;The Good Dinosaur;apatosaurus,asteroid,dinosaur,fear,river
Adventure,Animation,Comedy,Family,Fantasy;Brave;archery,coming of age,female warrior,princess,rebellious daughter
Action,Adventure,Sci-Fi,Thriller;Star Trek Beyond;hatred,sequel,space opera,star trek,third part
Adventure,Animation,Family,Sci-Fi;WALL·E;earth,obesity,plant,robot,soil
Action,Comedy,Crime,Thriller;Rush Hour 3;ambassador,assassination,chinese,french,triad
